trial_index,trial_id,model,scenario_index,profile_id,baseline,prompt_order,repetition,raw_output,parsed_choice
44,google/gemma-3n-e4b-it|7||True|scenario_first|1,google/gemma-3n-e4b-it,7,,True,scenario_first,1,D,D
45,google/gemma-3n-e4b-it|7||True|options_first|1,google/gemma-3n-e4b-it,7,,True,options_first,1,B,B
46,google/gemma-3n-e4b-it|7||True|scenario_first|2,google/gemma-3n-e4b-it,7,,True,scenario_first,2,D,D
47,google/gemma-3n-e4b-it|7||True|options_first|2,google/gemma-3n-e4b-it,7,,True,options_first,2,B,B
48,google/gemma-3n-e4b-it|8||True|scenario_first|0,google/gemma-3n-e4b-it,8,,True,scenario_first,0,C,C
49,google/gemma-3n-e4b-it|8||True|options_first|0,google/gemma-3n-e4b-it,8,,True,options_first,0,C,C
50,google/gemma-3n-e4b-it|8||True|scenario_first|1,google/gemma-3n-e4b-it,8,,True,scenario_first,1,C,C
51,google/gemma-3n-e4b-it|8||True|options_first|1,google/gemma-3n-e4b-it,8,,True,options_first,1,C,C
52,google/gemma-3n-e4b-it|8||True|scenario_first|2,google/gemma-3n-e4b-it,8,,True,scenario_first,2,C,C
53,google/gemma-3n-e4b-it|8||True|options_first|2,google/gemma-3n-e4b-it,8,,True,options_first,2,D,D
54,google/gemma-3n-e4b-it|9||True|scenario_first|0,google/gemma-3n-e4b-it,9,,True,scenario_first,0,A,A
55,google/gemma-3n-e4b-it|9||True|options_first|0,google/gemma-3n-e4b-it,9,,True,options_first,0,C,C
56,google/gemma-3n-e4b-it|9||True|scenario_first|1,google/gemma-3n-e4b-it,9,,True,scenario_first,1,A,A
57,google/gemma-3n-e4b-it|9||True|options_first|1,google/gemma-3n-e4b-it,9,,True,options_first,1,C,C
58,google/gemma-3n-e4b-it|9||True|scenario_first|2,google/gemma-3n-e4b-it,9,,True,scenario_first,2,A,A
59,google/gemma-3n-e4b-it|9||True|options_first|2,google/gemma-3n-e4b-it,9,,True,options_first,2,C,C
60,google/gemma-3n-e4b-it|10||True|scenario_first|0,google/gemma-3n-e4b-it,10,,True,scenario_first,0,D,D
61,google/gemma-3n-e4b-it|10||True|options_first|0,google/gemma-3n-e4b-it,10,,True,options_first,0,D,D
62,google/gemma-3n-e4b-it|10||True|scenario_first|1,google/gemma-3n-e4b-it,10,,True,scenario_first,1,D,D
63,google/gemma-3n-e4b-it|10||True|options_first|1,google/gemma-3n-e4b-it,10,,True,options_first,1,C,C
64,google/gemma-3n-e4b-it|10||True|scenario_first|2,google/gemma-3n-e4b-it,10,,True,scenario_first,2,D,D
65,google/gemma-3n-e4b-it|10||True|options_first|2,google/gemma-3n-e4b-it,10,,True,options_first,2,C,C
66,google/gemma-3n-e4b-it|11||True|scenario_first|0,google/gemma-3n-e4b-it,11,,True,scenario_first,0,F,F
67,google/gemma-3n-e4b-it|11||True|options_first|0,google/gemma-3n-e4b-it,11,,True,options_first,0,B,B
68,google/gemma-3n-e4b-it|11||True|scenario_first|1,google/gemma-3n-e4b-it,11,,True,scenario_first,1,F,F
69,google/gemma-3n-e4b-it|11||True|options_first|1,google/gemma-3n-e4b-it,11,,True,options_first,1,B,B
70,google/gemma-3n-e4b-it|11||True|scenario_first|2,google/gemma-3n-e4b-it,11,,True,scenario_first,2,F,F
71,google/gemma-3n-e4b-it|11||True|options_first|2,google/gemma-3n-e4b-it,11,,True,options_first,2,B,B
72,google/gemma-3n-e4b-it|12||True|scenario_first|0,google/gemma-3n-e4b-it,12,,True,scenario_first,0,B,B
73,google/gemma-3n-e4b-it|12||True|options_first|0,google/gemma-3n-e4b-it,12,,True,options_first,0,B,B
74,google/gemma-3n-e4b-it|12||True|scenario_first|1,google/gemma-3n-e4b-it,12,,True,scenario_first,1,B,B
75,google/gemma-3n-e4b-it|12||True|options_first|1,google/gemma-3n-e4b-it,12,,True,options_first,1,B,B
76,google/gemma-3n-e4b-it|12||True|scenario_first|2,google/gemma-3n-e4b-it,12,,True,scenario_first,2,B,B
77,google/gemma-3n-e4b-it|12||True|options_first|2,google/gemma-3n-e4b-it,12,,True,options_first,2,B,B
78,google/gemma-3n-e4b-it|13||True|scenario_first|0,google/gemma-3n-e4b-it,13,,True,scenario_first,0,B,B
79,google/gemma-3n-e4b-it|13||True|options_first|0,google/gemma-3n-e4b-it,13,,True,options_first,0,B,B
80,google/gemma-3n-e4b-it|13||True|scenario_first|1,google/gemma-3n-e4b-it,13,,True,scenario_first,1,B,B
81,google/gemma-3n-e4b-it|13||True|options_first|1,google/gemma-3n-e4b-it,13,,True,options_first,1,B,B
82,google/gemma-3n-e4b-it|13||True|scenario_first|2,google/gemma-3n-e4b-it,13,,True,scenario_first,2,B,B
83,google/gemma-3n-e4b-it|13||True|options_first|2,google/gemma-3n-e4b-it,13,,True,options_first,2,B,B
84,google/gemma-3n-e4b-it|14||True|scenario_first|0,google/gemma-3n-e4b-it,14,,True,scenario_first,0,B,B
85,google/gemma-3n-e4b-it|14||True|options_first|0,google/gemma-3n-e4b-it,14,,True,options_first,0,B,B
86,google/gemma-3n-e4b-it|14||True|scenario_first|1,google/gemma-3n-e4b-it,14,,True,scenario_first,1,B,B
87,google/gemma-3n-e4b-it|14||True|options_first|1,google/gemma-3n-e4b-it,14,,True,options_first,1,B,B
88,google/gemma-3n-e4b-it|14||True|scenario_first|2,google/gemma-3n-e4b-it,14,,True,scenario_first,2,B,B
89,google/gemma-3n-e4b-it|14||True|options_first|2,google/gemma-3n-e4b-it,14,,True,options_first,2,B,B
90,google/gemma-3n-e4b-it|15||True|scenario_first|0,google/gemma-3n-e4b-it,15,,True,scenario_first,0,B,B
91,google/gemma-3n-e4b-it|15||True|options_first|0,google/gemma-3n-e4b-it,15,,True,options_first,0,B,B
92,google/gemma-3n-e4b-it|15||True|scenario_first|1,google/gemma-3n-e4b-it,15,,True,scenario_first,1,B,B
93,google/gemma-3n-e4b-it|15||True|options_first|1,google/gemma-3n-e4b-it,15,,True,options_first,1,B,B
94,google/gemma-3n-e4b-it|15||True|scenario_first|2,google/gemma-3n-e4b-it,15,,True,scenario_first,2,B,B
95,google/gemma-3n-e4b-it|15||True|options_first|2,google/gemma-3n-e4b-it,15,,True,options_first,2,B,B
96,google/gemma-3n-e4b-it|16||True|scenario_first|0,google/gemma-3n-e4b-it,16,,True,scenario_first,0,B,B
97,google/gemma-3n-e4b-it|16||True|options_first|0,google/gemma-3n-e4b-it,16,,True,options_first,0,C,C
98,google/gemma-3n-e4b-it|16||True|scenario_first|1,google/gemma-3n-e4b-it,16,,True,scenario_first,1,B,B
99,google/gemma-3n-e4b-it|16||True|options_first|1,google/gemma-3n-e4b-it,16,,True,options_first,1,C,C
100,google/gemma-3n-e4b-it|16||True|scenario_first|2,google/gemma-3n-e4b-it,16,,True,scenario_first,2,B,B
101,google/gemma-3n-e4b-it|16||True|options_first|2,google/gemma-3n-e4b-it,16,,True,options_first,2,C,C
102,google/gemma-3n-e4b-it|17||True|scenario_first|0,google/gemma-3n-e4b-it,17,,True,scenario_first,0,C,C
103,google/gemma-3n-e4b-it|17||True|options_first|0,google/gemma-3n-e4b-it,17,,True,options_first,0,C,C
104,google/gemma-3n-e4b-it|17||True|scenario_first|1,google/gemma-3n-e4b-it,17,,True,scenario_first,1,C,C
105,google/gemma-3n-e4b-it|17||True|options_first|1,google/gemma-3n-e4b-it,17,,True,options_first,1,C,C
106,google/gemma-3n-e4b-it|17||True|scenario_first|2,google/gemma-3n-e4b-it,17,,True,scenario_first,2,C,C
107,google/gemma-3n-e4b-it|17||True|options_first|2,google/gemma-3n-e4b-it,17,,True,options_first,2,C,C
108,google/gemma-3n-e4b-it|18||True|scenario_first|0,google/gemma-3n-e4b-it,18,,True,scenario_first,0,C,C
109,google/gemma-3n-e4b-it|18||True|options_first|0,google/gemma-3n-e4b-it,18,,True,options_first,0,C,C
110,google/gemma-3n-e4b-it|18||True|scenario_first|1,google/gemma-3n-e4b-it,18,,True,scenario_first,1,C,C
111,google/gemma-3n-e4b-it|18||True|options_first|1,google/gemma-3n-e4b-it,18,,True,options_first,1,C,C
112,google/gemma-3n-e4b-it|18||True|scenario_first|2,google/gemma-3n-e4b-it,18,,True,scenario_first,2,C,C
113,google/gemma-3n-e4b-it|18||True|options_first|2,google/gemma-3n-e4b-it,18,,True,options_first,2,C,C
114,google/gemma-3n-e4b-it|19||True|scenario_first|0,google/gemma-3n-e4b-it,19,,True,scenario_first,0,E,E
115,google/gemma-3n-e4b-it|19||True|options_first|0,google/gemma-3n-e4b-it,19,,True,options_first,0,C,C
116,google/gemma-3n-e4b-it|19||True|scenario_first|1,google/gemma-3n-e4b-it,19,,True,scenario_first,1,E,E
117,google/gemma-3n-e4b-it|19||True|options_first|1,google/gemma-3n-e4b-it,19,,True,options_first,1,C,C
118,google/gemma-3n-e4b-it|19||True|scenario_first|2,google/gemma-3n-e4b-it,19,,True,scenario_first,2,E,E
119,google/gemma-3n-e4b-it|19||True|options_first|2,google/gemma-3n-e4b-it,19,,True,options_first,2,C,C
120,google/gemma-3n-e4b-it|20||True|scenario_first|0,google/gemma-3n-e4b-it,20,,True,scenario_first,0,F,F
121,google/gemma-3n-e4b-it|20||True|options_first|0,google/gemma-3n-e4b-it,20,,True,options_first,0,C,C
122,google/gemma-3n-e4b-it|20||True|scenario_first|1,google/gemma-3n-e4b-it,20,,True,scenario_first,1,F,F
123,google/gemma-3n-e4b-it|20||True|options_first|1,google/gemma-3n-e4b-it,20,,True,options_first,1,C,C
124,google/gemma-3n-e4b-it|20||True|scenario_first|2,google/gemma-3n-e4b-it,20,,True,scenario_first,2,F,F
125,google/gemma-3n-e4b-it|20||True|options_first|2,google/gemma-3n-e4b-it,20,,True,options_first,2,C,C
126,google/gemma-3n-e4b-it|21||True|scenario_first|0,google/gemma-3n-e4b-it,21,,True,scenario_first,0,B,B
127,google/gemma-3n-e4b-it|21||True|options_first|0,google/gemma-3n-e4b-it,21,,True,options_first,0,C,C
128,google/gemma-3n-e4b-it|21||True|scenario_first|1,google/gemma-3n-e4b-it,21,,True,scenario_first,1,B,B
129,google/gemma-3n-e4b-it|21||True|options_first|1,google/gemma-3n-e4b-it,21,,True,options_first,1,C,C
130,google/gemma-3n-e4b-it|21||True|scenario_first|2,google/gemma-3n-e4b-it,21,,True,scenario_first,2,B,B
131,google/gemma-3n-e4b-it|21||True|options_first|2,google/gemma-3n-e4b-it,21,,True,options_first,2,C,C
132,google/gemma-3n-e4b-it|22||True|scenario_first|0,google/gemma-3n-e4b-it,22,,True,scenario_first,0,B,B
133,google/gemma-3n-e4b-it|22||True|options_first|0,google/gemma-3n-e4b-it,22,,True,options_first,0,B,B
134,google/gemma-3n-e4b-it|22||True|scenario_first|1,google/gemma-3n-e4b-it,22,,True,scenario_first,1,B,B
135,google/gemma-3n-e4b-it|22||True|options_first|1,google/gemma-3n-e4b-it,22,,True,options_first,1,B,B
136,google/gemma-3n-e4b-it|22||True|scenario_first|2,google/gemma-3n-e4b-it,22,,True,scenario_first,2,B,B
137,google/gemma-3n-e4b-it|22||True|options_first|2,google/gemma-3n-e4b-it,22,,True,options_first,2,B,B
138,google/gemma-3n-e4b-it|23||True|scenario_first|0,google/gemma-3n-e4b-it,23,,True,scenario_first,0,E,E
139,google/gemma-3n-e4b-it|23||True|options_first|0,google/gemma-3n-e4b-it,23,,True,options_first,0,D,D
140,google/gemma-3n-e4b-it|23||True|scenario_first|1,google/gemma-3n-e4b-it,23,,True,scenario_first,1,E,E
141,google/gemma-3n-e4b-it|23||True|options_first|1,google/gemma-3n-e4b-it,23,,True,options_first,1,D,D
142,google/gemma-3n-e4b-it|23||True|scenario_first|2,google/gemma-3n-e4b-it,23,,True,scenario_first,2,E,E
143,google/gemma-3n-e4b-it|23||True|options_first|2,google/gemma-3n-e4b-it,23,,True,options_first,2,D,D
144,google/gemma-3n-e4b-it|24||True|scenario_first|0,google/gemma-3n-e4b-it,24,,True,scenario_first,0,C,C
145,google/gemma-3n-e4b-it|24||True|options_first|0,google/gemma-3n-e4b-it,24,,True,options_first,0,C,C
146,google/gemma-3n-e4b-it|24||True|scenario_first|1,google/gemma-3n-e4b-it,24,,True,scenario_first,1,C,C
147,google/gemma-3n-e4b-it|24||True|options_first|1,google/gemma-3n-e4b-it,24,,True,options_first,1,C,C
148,google/gemma-3n-e4b-it|24||True|scenario_first|2,google/gemma-3n-e4b-it,24,,True,scenario_first,2,C,C
149,google/gemma-3n-e4b-it|24||True|options_first|2,google/gemma-3n-e4b-it,24,,True,options_first,2,C,C
150,google/gemma-3n-e4b-it|25||True|scenario_first|0,google/gemma-3n-e4b-it,25,,True,scenario_first,0,E,E
151,google/gemma-3n-e4b-it|25||True|options_first|0,google/gemma-3n-e4b-it,25,,True,options_first,0,D,D
152,google/gemma-3n-e4b-it|25||True|scenario_first|1,google/gemma-3n-e4b-it,25,,True,scenario_first,1,E,E
153,google/gemma-3n-e4b-it|25||True|options_first|1,google/gemma-3n-e4b-it,25,,True,options_first,1,E,E
154,google/gemma-3n-e4b-it|25||True|scenario_first|2,google/gemma-3n-e4b-it,25,,True,scenario_first,2,E,E
155,google/gemma-3n-e4b-it|25||True|options_first|2,google/gemma-3n-e4b-it,25,,True,options_first,2,E,E
156,google/gemma-3n-e4b-it|26||True|scenario_first|0,google/gemma-3n-e4b-it,26,,True,scenario_first,0,A,A
157,google/gemma-3n-e4b-it|26||True|options_first|0,google/gemma-3n-e4b-it,26,,True,options_first,0,B,B
158,google/gemma-3n-e4b-it|26||True|scenario_first|1,google/gemma-3n-e4b-it,26,,True,scenario_first,1,A,A
159,google/gemma-3n-e4b-it|26||True|options_first|1,google/gemma-3n-e4b-it,26,,True,options_first,1,B,B
160,google/gemma-3n-e4b-it|26||True|scenario_first|2,google/gemma-3n-e4b-it,26,,True,scenario_first,2,A,A
161,google/gemma-3n-e4b-it|26||True|options_first|2,google/gemma-3n-e4b-it,26,,True,options_first,2,B,B
162,google/gemma-3n-e4b-it|27||True|scenario_first|0,google/gemma-3n-e4b-it,27,,True,scenario_first,0,B,B
163,google/gemma-3n-e4b-it|27||True|options_first|0,google/gemma-3n-e4b-it,27,,True,options_first,0,B,B
164,google/gemma-3n-e4b-it|27||True|scenario_first|1,google/gemma-3n-e4b-it,27,,True,scenario_first,1,B,B
165,google/gemma-3n-e4b-it|27||True|options_first|1,google/gemma-3n-e4b-it,27,,True,options_first,1,B,B
166,google/gemma-3n-e4b-it|27||True|scenario_first|2,google/gemma-3n-e4b-it,27,,True,scenario_first,2,B,B
167,google/gemma-3n-e4b-it|27||True|options_first|2,google/gemma-3n-e4b-it,27,,True,options_first,2,B,B
168,google/gemma-3n-e4b-it|28||True|scenario_first|0,google/gemma-3n-e4b-it,28,,True,scenario_first,0,D,D
169,google/gemma-3n-e4b-it|28||True|options_first|0,google/gemma-3n-e4b-it,28,,True,options_first,0,F,F
170,google/gemma-3n-e4b-it|28||True|scenario_first|1,google/gemma-3n-e4b-it,28,,True,scenario_first,1,D,D
171,google/gemma-3n-e4b-it|28||True|options_first|1,google/gemma-3n-e4b-it,28,,True,options_first,1,F,F
172,google/gemma-3n-e4b-it|28||True|scenario_first|2,google/gemma-3n-e4b-it,28,,True,scenario_first,2,D,D
173,google/gemma-3n-e4b-it|28||True|options_first|2,google/gemma-3n-e4b-it,28,,True,options_first,2,B,B
174,google/gemma-3n-e4b-it|29||True|scenario_first|0,google/gemma-3n-e4b-it,29,,True,scenario_first,0,C,C
175,google/gemma-3n-e4b-it|29||True|options_first|0,google/gemma-3n-e4b-it,29,,True,options_first,0,D,D
176,google/gemma-3n-e4b-it|29||True|scenario_first|1,google/gemma-3n-e4b-it,29,,True,scenario_first,1,C,C
177,google/gemma-3n-e4b-it|29||True|options_first|1,google/gemma-3n-e4b-it,29,,True,options_first,1,D,D
178,google/gemma-3n-e4b-it|29||True|scenario_first|2,google/gemma-3n-e4b-it,29,,True,scenario_first,2,C,C
179,google/gemma-3n-e4b-it|29||True|options_first|2,google/gemma-3n-e4b-it,29,,True,options_first,2,D,D
180,google/gemma-3n-e4b-it|30||True|scenario_first|0,google/gemma-3n-e4b-it,30,,True,scenario_first,0,C,C
181,google/gemma-3n-e4b-it|30||True|options_first|0,google/gemma-3n-e4b-it,30,,True,options_first,0,B,B
182,google/gemma-3n-e4b-it|30||True|scenario_first|1,google/gemma-3n-e4b-it,30,,True,scenario_first,1,C,C
183,google/gemma-3n-e4b-it|30||True|options_first|1,google/gemma-3n-e4b-it,30,,True,options_first,1,B,B
184,google/gemma-3n-e4b-it|30||True|scenario_first|2,google/gemma-3n-e4b-it,30,,True,scenario_first,2,C,C
185,google/gemma-3n-e4b-it|30||True|options_first|2,google/gemma-3n-e4b-it,30,,True,options_first,2,B,B
186,google/gemma-3n-e4b-it|31||True|scenario_first|0,google/gemma-3n-e4b-it,31,,True,scenario_first,0,C,C
187,google/gemma-3n-e4b-it|31||True|options_first|0,google/gemma-3n-e4b-it,31,,True,options_first,0,C,C
188,google/gemma-3n-e4b-it|31||True|scenario_first|1,google/gemma-3n-e4b-it,31,,True,scenario_first,1,C,C
189,google/gemma-3n-e4b-it|31||True|options_first|1,google/gemma-3n-e4b-it,31,,True,options_first,1,C,C
190,google/gemma-3n-e4b-it|31||True|scenario_first|2,google/gemma-3n-e4b-it,31,,True,scenario_first,2,C,C
191,google/gemma-3n-e4b-it|31||True|options_first|2,google/gemma-3n-e4b-it,31,,True,options_first,2,C,C
192,google/gemma-3n-e4b-it|32||True|scenario_first|0,google/gemma-3n-e4b-it,32,,True,scenario_first,0,B,B
193,google/gemma-3n-e4b-it|32||True|options_first|0,google/gemma-3n-e4b-it,32,,True,options_first,0,B,B
194,google/gemma-3n-e4b-it|32||True|scenario_first|1,google/gemma-3n-e4b-it,32,,True,scenario_first,1,B,B
195,google/gemma-3n-e4b-it|32||True|options_first|1,google/gemma-3n-e4b-it,32,,True,options_first,1,B,B
196,google/gemma-3n-e4b-it|32||True|scenario_first|2,google/gemma-3n-e4b-it,32,,True,scenario_first,2,B,B
197,google/gemma-3n-e4b-it|32||True|options_first|2,google/gemma-3n-e4b-it,32,,True,options_first,2,B,B
198,google/gemma-3n-e4b-it|33||True|scenario_first|0,google/gemma-3n-e4b-it,33,,True,scenario_first,0,C,C
199,google/gemma-3n-e4b-it|33||True|options_first|0,google/gemma-3n-e4b-it,33,,True,options_first,0,B,B
200,google/gemma-3n-e4b-it|33||True|scenario_first|1,google/gemma-3n-e4b-it,33,,True,scenario_first,1,C,C
201,google/gemma-3n-e4b-it|33||True|options_first|1,google/gemma-3n-e4b-it,33,,True,options_first,1,B,B
202,google/gemma-3n-e4b-it|33||True|scenario_first|2,google/gemma-3n-e4b-it,33,,True,scenario_first,2,C,C
203,google/gemma-3n-e4b-it|33||True|options_first|2,google/gemma-3n-e4b-it,33,,True,options_first,2,B,B
204,google/gemma-3n-e4b-it|34||True|scenario_first|0,google/gemma-3n-e4b-it,34,,True,scenario_first,0,C,C
205,google/gemma-3n-e4b-it|34||True|options_first|0,google/gemma-3n-e4b-it,34,,True,options_first,0,C,C
206,google/gemma-3n-e4b-it|34||True|scenario_first|1,google/gemma-3n-e4b-it,34,,True,scenario_first,1,C,C
207,google/gemma-3n-e4b-it|34||True|options_first|1,google/gemma-3n-e4b-it,34,,True,options_first,1,C,C
208,google/gemma-3n-e4b-it|34||True|scenario_first|2,google/gemma-3n-e4b-it,34,,True,scenario_first,2,C,C
209,google/gemma-3n-e4b-it|34||True|options_first|2,google/gemma-3n-e4b-it,34,,True,options_first,2,C,C
210,google/gemma-3n-e4b-it|35||True|scenario_first|0,google/gemma-3n-e4b-it,35,,True,scenario_first,0,C,C
211,google/gemma-3n-e4b-it|35||True|options_first|0,google/gemma-3n-e4b-it,35,,True,options_first,0,C,C
212,google/gemma-3n-e4b-it|35||True|scenario_first|1,google/gemma-3n-e4b-it,35,,True,scenario_first,1,C,C
213,google/gemma-3n-e4b-it|35||True|options_first|1,google/gemma-3n-e4b-it,35,,True,options_first,1,C,C
214,google/gemma-3n-e4b-it|35||True|scenario_first|2,google/gemma-3n-e4b-it,35,,True,scenario_first,2,C,C
215,google/gemma-3n-e4b-it|35||True|options_first|2,google/gemma-3n-e4b-it,35,,True,options_first,2,C,C
216,google/gemma-3n-e4b-it|36||True|scenario_first|0,google/gemma-3n-e4b-it,36,,True,scenario_first,0,A,A
217,google/gemma-3n-e4b-it|36||True|options_first|0,google/gemma-3n-e4b-it,36,,True,options_first,0,C,C
218,google/gemma-3n-e4b-it|36||True|scenario_first|1,google/gemma-3n-e4b-it,36,,True,scenario_first,1,A,A
219,google/gemma-3n-e4b-it|36||True|options_first|1,google/gemma-3n-e4b-it,36,,True,options_first,1,C,C
220,google/gemma-3n-e4b-it|36||True|scenario_first|2,google/gemma-3n-e4b-it,36,,True,scenario_first,2,A,A
221,google/gemma-3n-e4b-it|36||True|options_first|2,google/gemma-3n-e4b-it,36,,True,options_first,2,C,C
222,google/gemma-3n-e4b-it|37||True|scenario_first|0,google/gemma-3n-e4b-it,37,,True,scenario_first,0,B,B
223,google/gemma-3n-e4b-it|37||True|options_first|0,google/gemma-3n-e4b-it,37,,True,options_first,0,B,B
224,google/gemma-3n-e4b-it|37||True|scenario_first|1,google/gemma-3n-e4b-it,37,,True,scenario_first,1,B,B
225,google/gemma-3n-e4b-it|37||True|options_first|1,google/gemma-3n-e4b-it,37,,True,options_first,1,B,B
226,google/gemma-3n-e4b-it|37||True|scenario_first|2,google/gemma-3n-e4b-it,37,,True,scenario_first,2,B,B
227,google/gemma-3n-e4b-it|37||True|options_first|2,google/gemma-3n-e4b-it,37,,True,options_first,2,B,B
228,google/gemma-3n-e4b-it|38||True|scenario_first|0,google/gemma-3n-e4b-it,38,,True,scenario_first,0,C,C
229,google/gemma-3n-e4b-it|38||True|options_first|0,google/gemma-3n-e4b-it,38,,True,options_first,0,C,C
230,google/gemma-3n-e4b-it|38||True|scenario_first|1,google/gemma-3n-e4b-it,38,,True,scenario_first,1,C,C
231,google/gemma-3n-e4b-it|38||True|options_first|1,google/gemma-3n-e4b-it,38,,True,options_first,1,C,C
232,google/gemma-3n-e4b-it|38||True|scenario_first|2,google/gemma-3n-e4b-it,38,,True,scenario_first,2,C,C
233,google/gemma-3n-e4b-it|38||True|options_first|2,google/gemma-3n-e4b-it,38,,True,options_first,2,C,C
234,google/gemma-3n-e4b-it|39||True|scenario_first|0,google/gemma-3n-e4b-it,39,,True,scenario_first,0,B,B
